"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"운수·창고 및 통신업",자동차운수업 및 택배업 퀵서비스업,28160,335049,2213,75,0.66,2.24,30579,338136,2679,96,0.79,2.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",육상 및 수상운수업,-,-,-,-,-,-,-,-,-,-,-,-,34041,348821,3528,104,1.01,2.98,38183,366343,4607,108,1.26,2.95,43191,380489,6942,104,1.82,2.73,46783,432886,9063,139,2.09,3.21
"운수·창고 및 통신업",수상운수업 항만하역 및 화물취급사업,11089,127515,1206,19,0.95,1.49,11517,136891,1377,30,1.01,2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",항공운수업,277,48245,81,1,0.17,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",운수관련서비스업,24257,154528,305,10,0.20,0.65,25217,160141,430,12,0.27,0.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고 및 운수관련 서비스업,-,-,-,-,-,-,-,-,-,-,-,-,41097,335264,1956,36,0.58,1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고업,3427,43859,176,2,0.40,0.46,3585,44317,228,3,0.51,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",통신업,4046,70082,142,3,0.20,0.43,5707,89205,236,10,0.26,1.12,5655,89019,223,6,0.25,0.67,5658,87649,242,6,0.28,0.68,5758,98431,295,4,0.30,0.41,5812,105199,248,4,0.24,0.38
"임업",소계,11740,82773,1124,16,1.36,1.93,12105,89751,1041,13,1.16,1.45,12289,91682,1017,17,1.11,1.85,12919,101404,1030,17,1.02,1.68,14596,110395,946,13,0.86,1.18,16483,124991,968,13,0.77,1.04
"임업",임업,11740,82773,1124,16,1.36,1.93,12105,89751,1041,13,1.16,1.45,12289,91682,1017,17,1.11,1.85,12919,101404,1030,17,1.02,1.68,14596,110395,946,13,0.86,1.18,16483,124991,968,13,0.77,1.04
"어업",소계,1633,5289,59,3,1.12,5.67,1748,5416,66,1,1.22,1.85,1858,5121,60,3,1.17,5.86,1898,4973,48,1,0.97,2.01,1918,4955,74,3,1.49,6.05,2163,5565,59,1,1.06,1.80
"어업",어업 양식어업 및 어업관련서비스업,1633,5289,59,3,1.12,5.67,1748,5416,66,1,1.22,1.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"어업",어업,-,-,-,-,-,-,-,-,-,-,-,-,1858,5121,60,3,1.17,5.86,1898,4973,48,1,0.97,2.01,1918,4955,74,3,1.49,6.05,2163,5565,59,1,1.06,1.80
"농업",소계,15452,76033,555,6,0.73,0.79,17449,83540,648,14,0.78,1.68,18785,79482,642,9,0.81,1.13,19382,78940,639,10,0.81,1.27,20302,78999,668,11,0.85,1.39,22509,84180,682,12,0.81,1.43
